ID,diamond_id,stock_id,ReportNo,shape,carats,col,clar,cut,pol,symm,flo,floCol,length,width,height,depth,table,culet,lab,girdle,eyeClean,brown,green,milky,discount,price,price_per_carat,video,image,pdf,mine_of_origin,canada_mark_eligible,is_returnable,lg,markup_price,markup_currency,deliveredPrice,minDeliveryDays,maxDeliveryDays,crownHeight,crownAngle,pavAngle,pavHeight,pavDepth,fancyColor,fancyOvertone,fancyIntensity,colorShade,videosImageUri,videosFrame,blue,gray,country,labgrownType,fullShape,starLength,lowerGirdle
1,c24c0f84-823a-4a5f-af68-09694c3eba90,EFD0E4881,LG702546464,ROUND,5.09,E,VVS2,ID,EX,EX,NON,,10.95,11.01,6.83,62.3,56,POINTED,IGI,MED,100%,No,No,No,-99.80%,689.06,135.38,https://loupe360.com/diamond/LG702546464/video/500/500?d_id=c24c0f84-823a-4a5f-af68-09694c3eba90&c_id=dba8fd33-29d4-4166-8762-26bac79a5aa4&f_id=f1bb4b3c-e938-408a-8a2d-0a67c19cf0c4&type=csv,,https://pdf.igi.org/FDR702546464.pdf,,FALSE,Y,lab,1860.46,USD,689.06,5,7,15.5,35.1,40.8,,43,,,,,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly92aWV3LmdlbTM2MC5pbi9nZW0zNjAuaHRtbD9kPTIyMDQyNTE4NDktMzIyLTI=,255,,0,IN,CVD,ROUND BRILLIANT,,
2,e3570bae-9d70-4d3f-ae4a-4c21a8987ee2,EE67640F8,LG702535409,ROUND,4.06,D,VVS2,ID,EX,EX,NON,,10.28,10.32,6.24,60.6,59,POINTED,IGI,MED to STK,100%,No,No,No,-99.68%,735.97,181.27,https://loupe360.com/diamond/LG702535409/video/500/500?d_id=e3570bae-9d70-4d3f-ae4a-4c21a8987ee2&c_id=dba8fd33-29d4-4166-8762-26bac79a5aa4&f_id=f1bb4b3c-e938-408a-8a2d-0a67c19cf0c4&type=csv,,https://pdf.igi.org/FDR702535409.pdf,,FALSE,Y,lab,2060.72,USD,735.97,5,7,13.5,33,41.1,,43.5,,,,,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly92aWV3LmdlbTM2MC5pbi9nZW0zNjAuaHRtbD9kPTIxMDQyNTE4MzktMzIyLTM=,255,,0,IN,CVD,ROUND BRILLIANT,,
3,102b17f1-b4b1-4486-870a-7559d45eae62,8EF943FEB,LG703512508,ROUND,5.08,F,VVS2,ID,EX,EX,NON,,10.98,11.03,6.78,61.6,57,POINTED,IGI,MED,100%,No,No,No,-99.77%,687.74,135.38,https://loupe360.com/diamond/LG703512508/video/500/500?d_id=102b17f1-b4b1-4486-870a-7559d45eae62&c_id=dba8fd33-29d4-4166-8762-26bac79a5aa4&f_id=f1bb4b3c-e938-408a-8a2d-0a67c19cf0c4&type=csv,,https://pdf.igi.org/FDR703512508.pdf,,FALSE,Y,lab,1856.9,USD,687.74,5,7,15.5,35.4,40.5,,42.5,,,,,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly92aWV3LmdlbTM2MC5pbi9nZW0zNjAuaHRtbD9kPTI1MDQyNTA5NTktMzIyLTItMw==,255,,0,IN,CVD,ROUND BRILLIANT,,
4,11e9a2ba-466a-4c40-afc5-b01d5a356d82,92DEFCA74,LG702546457,ROUND,5.11,D,VVS2,ID,EX,EX,NON,,11.17,11.24,6.74,60.1,58,POINTED,IGI,MED,100%,No,No,No,-99.72%,1083.18,211.97,https://loupe360.com/diamond/LG702546457/video/500/500?d_id=11e9a2ba-466a-4c40-afc5-b01d5a356d82&c_id=dba8fd33-29d4-4166-8762-26bac79a5aa4&f_id=f1bb4b3c-e938-408a-8a2d-0a67c19cf0c4&type=csv,,https://pdf.igi.org/FDR702546457.pdf,,FALSE,Y,lab,2924.59,USD,1083.18,5,7,13.5,33.2,41.1,,43.5,,,,,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly92aWV3LmdlbTM2MC5pbi9nZW0zNjAuaHRtbD9kPTIyMDQyNTE4NDctMzIyLTQtQQ==,255,,0,IN,CVD,ROUND BRILLIANT,,
5,3936b8b4-e900-4e68-8612-9be2d13025cc,917C836E2,LG703512228,OVAL,4.59,E,VS1,-,EX,EX,NON,,14.19,9.42,5.6,59.4,62,POINTED,IGI,MED to STK,100%,No,No,No,-99.66%,583.2,127.06,https://loupe360.com/diamond/LG703512228/video/500/500?d_id=3936b8b4-e900-4e68-8612-9be2d13025cc&c_id=dba8fd33-29d4-4166-8762-26bac79a5aa4&f_id=f1bb4b3c-e938-408a-8a2d-0a67c19cf0c4&type=csv,,https://pdf.igi.org/FDR703512228.pdf,,FALSE,Y,lab,1632.96,USD,583.2,5,7,11.5,31.5,40.6,,44.5,,,,,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly92aWV3LmdlbTM2MC5pbi9nZW0zNjAuaHRtbD9kPTI1MDQyNTEwMTMtMzIyLTQtNA==,255,,0,IN,CVD,OVAL BRILLIANT,,
6,3e75f443-dd0c-4124-bb03-83d3d6a70318,8347FCB2C,LG694550228,HEART,1.53,E,VS2,-,EX,EX,NON,,6.9,7.71,4.98,64.6,53,POINTED,IGI,MED to STK,100%,No,No,No,-98.67%,188,122.88,https://loupe360.com/diamond/LG694550228/video/500/500?d_id=3e75f443-dd0c-4124-bb03-83d3d6a70318&c_id=dba8fd33-29d4-4166-8762-26bac79a5aa4&f_id=f1bb4b3c-e938-408a-8a2d-0a67c19cf0c4&type=csv,,https://nivoda-certificates.s3.eu-west-2.amazonaws.com/pdf/LG694550228.pdf,,FALSE,Y,lab,545.2,USD,188,5,7,18.5,40.7,39.8,,42.5,,,,,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly92aWV3LmdlbTM2MC5pbi9nZW0zNjAuaHRtbD9kPTI2MDMyNTE4MDctMjQ1LThB,255,,0,IN,CVD,HEART BRILLIANT,,
7,45a83818-64fa-44ba-8d2f-d5e89fbf7919,5FCB9FFD9,LG694550231,HEART,2.1,D,VS1,-,EX,EX,NON,,8.03,9.03,4.96,54.9,64,POINTED,IGI,MED to STK,100%,No,No,No,-99.21%,291.77,138.94,https://loupe360.com/diamond/LG694550231/video/500/500?d_id=45a83818-64fa-44ba-8d2f-d5e89fbf7919&c_id=dba8fd33-29d4-4166-8762-26bac79a5aa4&f_id=f1bb4b3c-e938-408a-8a2d-0a67c19cf0c4&type=csv,,https://nivoda-certificates.s3.eu-west-2.amazonaws.com/pdf/LG694550231.pdf,,FALSE,Y,lab,831.54,USD,291.77,5,7,13,36.2,38.1,,38.5,,,,,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly92aWV3LmdlbTM2MC5pbi9nZW0zNjAuaHRtbD9kPTI2MDMyNTE4MDEtMjQ1LTE1,255,,0,IN,CVD,HEART BRILLIANT,,
8,50524d38-7cfa-4e9c-89a7-4d7c98dd813a,3C1AEABFE,LG685594410,CUSHION MODIFIED,1.51,E,VS2,-,EX,EX,NON,,6.54,6.29,4.3,68.4,63,POINTED,IGI,MED to STK,100%,No,No,No,-98.86%,161.03,106.64,https://loupe360.com/diamond/LG685594410/video/500/500?d_id=50524d38-7cfa-4e9c-89a7-4d7c98dd813a&c_id=dba8fd33-29d4-4166-8762-26bac79a5aa4&f_id=f1bb4b3c-e938-408a-8a2d-0a67c19cf0c4&type=csv,,https://nivoda-certificates.s3.eu-west-2.amazonaws.com/pdf/LG685594410.pdf,,FALSE,Y,lab,466.99,USD,161.03,5,7,12,32.4,38.4,,52.5,,,,,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly92aWV3LmdlbTM2MC5pbi9nZW0zNjAuaHRtbD9kPTA2MDMyNTE2MjQtMzYtNg==,255,,0,IN,CVD,SQUARE CUSHION MODIFIED BRILLIANT,,
9,6ee5358b-fe77-44ae-bcd1-732ed2c2e2e7,9DF7CB2F9,LG693537420,OVAL,5.03,F,VS2,-,EX,EX,NON,,13.08,9.4,6.18,65.7,55,POINTED,IGI,THK to VTK,100%,No,No,No,-99.76%,527.03,104.78,https://loupe360.com/diamond/LG693537420/video/500/500?d_id=6ee5358b-fe77-44ae-bcd1-732ed2c2e2e7&c_id=dba8fd33-29d4-4166-8762-26bac79a5aa4&f_id=f1bb4b3c-e938-408a-8a2d-0a67c19cf0c4&type=csv,,https://pdf.igi.org/FDR693537420.pdf,,FALSE,Y,lab,1422.98,USD,527.03,5,7,18.5,39.6,38.8,,41.5,,,,,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly92aWV3LmdlbTM2MC5pbi9nZW0zNjAuaHRtbD9kPTIxMDMyNTE1MzktMjQ1LTI=,255,,0,IN,CVD,OVAL BRILLIANT,,
10,7ab6850e-d08f-4dae-a0fb-5a28ba36c00f,298D51E7F,LG694550142,HEART,2.1,D,VS2,-,EX,EX,NON,,7.84,8.66,5.44,62.8,63,POINTED,IGI,STK to THK,100%,No,No,No,-99.16%,280.27,133.46,https://loupe360.com/diamond/LG694550142/video/500/500?d_id=7ab6850e-d08f-4dae-a0fb-5a28ba36c00f&c_id=dba8fd33-29d4-4166-8762-26bac79a5aa4&f_id=f1bb4b3c-e938-408a-8a2d-0a67c19cf0c4&type=csv,,https://nivoda-certificates.s3.eu-west-2.amazonaws.com/pdf/LG694550142.pdf,,FALSE,Y,lab,798.77,USD,280.27,5,7,12.5,35.6,42.6,,45.5,,,,,https://nivoda-images.s3.amazonaws.com/aHR0cHM6Ly92aWV3LmdlbTM2MC5pbi9nZW0zNjAuaHRtbD9kPTI2MDMyNTE4MDYtMjQ1LTE1QQ==,255,,0,IN,CVD,HEART BRILLIANT,,
